nom_produit,lien_produit,Description,img_produit
Black Key 50ml Secret's Lab,https://www.aromes-et-liquides.fr/e-liquide-secret-s-keys/15076-black-key-50ml.html,"Cookies, popcorn caramel, en liquide 50ml",https://assets.aromes-et-liquides.fr/44795-thickbox_default/black-key-50ml.jpg
Vanilla & Popcorn Instinct...,https://www.aromes-et-liquides.fr/e-liquide-instinct-gourmand/12558-alfaliquid-vanilla-popcorn.html,"Une saveur popcorn, caramel et custard en e-liquide prêt à l'emploi",https://assets.aromes-et-liquides.fr/55067-thickbox_default/alfaliquid-vanilla-popcorn.jpg
Midnight Jin 200ml Jin & Juice,https://www.aromes-et-liquides.fr/e-liquide-jin-juice/16802-midnight-jin-200ml.html,Une recette de custard vanillé et de gaufrette,https://assets.aromes-et-liquides.fr/49823-thickbox_default/midnight-jin-200ml.jpg
Crème Brulée Curieux 50 ml,https://www.aromes-et-liquides.fr/e-liquide-curieux/12882-creme-brulee.html,Une crème brûlée à booster !,https://assets.aromes-et-liquides.fr/37737-thickbox_default/creme-brulee.jpg
Riggs E-Salt Cop Juice...,https://www.aromes-et-liquides.fr/e-liquide-cop-juice/9474-e-liquide-riggs-salt-par-eliquid-france.html,"Un e-liquide 10ml ien sel de nicotine aux saveurs de custard, de céréales et de popcorn caramélisés",https://assets.aromes-et-liquides.fr/54280-thickbox_default/e-liquide-riggs-salt-par-eliquid-france.jpg
Nougat Cirkus VDLV,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/5544-e-liquide-cirkus-nougat-par-vdlv.html,Un nougat à base d'amandes torréfiées et de caramel,https://assets.aromes-et-liquides.fr/54988-thickbox_default/e-liquide-cirkus-nougat-par-vdlv.jpg
Christmas Cookie & Cream...,https://www.aromes-et-liquides.fr/e-liquide-pulp/5788-e-liquide-christmas-cookie-cream-10ml-par-pulp.html,Un cookie accompagné de crème à la cannelle,https://assets.aromes-et-liquides.fr/54919-thickbox_default/e-liquide-christmas-cookie-cream-10ml-par-pulp.jpg
Old Nuts 50ml Moonshiners...,https://www.aromes-et-liquides.fr/e-liquide-le-french-liquide/13176-old-nuts-moonshiners-le-french-liquide-50-ml.html,"Une recette à booster mêlant noisette, caramel et nougat !",https://assets.aromes-et-liquides.fr/54026-thickbox_default/old-nuts-moonshiners-le-french-liquide-50-ml.jpg
Strawberry Cheesecake 100ml...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14936-strawberry-cheesecake-100ml-dessert.html,"Le cheesecake à la fraise de Chuffed, version e liquide 100ml à booster",https://assets.aromes-et-liquides.fr/44423-thickbox_default/strawberry-cheesecake-100ml-dessert.jpg
Midnight Kuki 200ml Jin &...,https://www.aromes-et-liquides.fr/e-liquide-jin-juice/16803-midnight-kuki-200ml.html,Des cookies accompagnés de caramel !,https://assets.aromes-et-liquides.fr/49824-thickbox_default/midnight-kuki-200ml.jpg
Les Céréales 200ml Jin & Juice,https://www.aromes-et-liquides.fr/e-liquide-jin-juice/15121-les-cereales-200ml.html,Des corn-flakes dans du lait à vaper !,https://assets.aromes-et-liquides.fr/44874-thickbox_default/les-cereales-200ml.jpg
Jiraya 50ml Ultimate A&L,https://www.aromes-et-liquides.fr/e-liquide-ultimate/13430-ultimate-jiraya-50ml.html,Un île flottante avec un coulis de caramel en e-liquide à booster,https://assets.aromes-et-liquides.fr/47773-thickbox_default/ultimate-jiraya-50ml.jpg
Fraisiers 100ml Retro Juice 66,https://www.aromes-et-liquides.fr/e-liquide-juice-66/15771-fraisiers-100ml-retro.html,"Un gâteau, entre génoise, crème et fraises !",https://assets.aromes-et-liquides.fr/46516-thickbox_default/fraisiers-100ml-retro.jpg
Charlotte 200ml Jin & Juice,https://www.aromes-et-liquides.fr/e-liquide-jin-juice/15116-charlotte-200ml.html,Une charlotte aux fraises en e-liquide 200ml !,https://assets.aromes-et-liquides.fr/44828-thickbox_default/charlotte-200ml.jpg
Cherry Bakewell 100ml...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14070-cherry-bakewell-100ml-dessert.html,"Tarte frangipane aux cerises, dans 100ml à booster",https://assets.aromes-et-liquides.fr/41522-thickbox_default/cherry-bakewell-100ml-dessert.jpg
Bonbon Banane Cirkus VDLV,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/5695-e-liquide-cirkus-bonbon-banane-par-vdlv.html,Un bonbon à la banane au format prêt à vaper,https://assets.aromes-et-liquides.fr/54989-thickbox_default/e-liquide-cirkus-bonbon-banane-par-vdlv.jpg
Le Citron Fizz PULP,https://www.aromes-et-liquides.fr/e-liquide-pulp/5800-e-liquide-le-citron-fizz-10ml-par-pulp.html,Le goût de bonbon au citron revisité par PULP,https://assets.aromes-et-liquides.fr/54923-thickbox_default/e-liquide-le-citron-fizz-10ml-par-pulp.jpg
La Gomme 200ml Jin & Juice,https://www.aromes-et-liquides.fr/e-liquide-jin-juice/15124-la-gomme-200ml.html,Un bubble gum à la fraise en format 200ml !,https://assets.aromes-et-liquides.fr/44877-thickbox_default/la-gomme-200ml.jpg
E-liquide Cinema Reserve Act 2 100ml par Cloud of Icarus,https://www.aromes-et-liquides.fr/e-liquide-clouds-of-icarus/7961-e-liquide-cinema-reserve-act-2-100ml-par-cloud-of-icarus.html,Un pain perdu accompagné de caramel et de noix de pécan !,https://assets.aromes-et-liquides.fr/21755-thickbox_default/e-liquide-cinema-reserve-act-2-100ml-par-cloud-of-icarus.jpg
Vanilla Custard 100ml Dough...,https://www.aromes-et-liquides.fr/e-liquide-dough-king/15093-vanilla-custard-100ml.html,Donut et crème custard vanillée : un e-liquide en format 100ml,https://assets.aromes-et-liquides.fr/44833-thickbox_default/vanilla-custard-100ml.jpg
Financier Pistache 100ml...,https://www.aromes-et-liquides.fr/e-liquide-juice-66/15770-financier-pistache-100ml-retro.html,Un mix saveur biscuit et crème de pistache en version à booster,https://assets.aromes-et-liquides.fr/46515-thickbox_default/financier-pistache-100ml-retro.jpg
Creme Kong Caramel Joe's Juice 200 ml,https://www.aromes-et-liquides.fr/e-liquide-joe-s-juice/13116-creme-kong-caramel-joe-s-juice.html,Caramel et custard dans 200ml de e-liquide,https://assets.aromes-et-liquides.fr/38243-thickbox_default/creme-kong-caramel-joe-s-juice.jpg
Vanilla Crunch 200ml Biggy...,https://www.aromes-et-liquides.fr/e-liquide-biggy-bear/16338-vanilla-crunch-200ml.html,"Une crème vanille, cacahuètes, et chantilly !",https://assets.aromes-et-liquides.fr/48544-thickbox_default/vanilla-crunch-200ml.jpg
Bonbon Fraise Cirkus VDLV,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/8624-e-liquide-bonbon-fraise-par-vdlv.html,Un e-liquide au goût de bonbon à la fraise !,https://assets.aromes-et-liquides.fr/54990-thickbox_default/e-liquide-bonbon-fraise-par-vdlv.jpg
Cacahuète Crunchy Cirkus VDLV,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/8462-e-liquide-cacahuete-crunchy-par-vdlv.html,Une recette au goût de cacahuète et de caramel,https://assets.aromes-et-liquides.fr/55000-thickbox_default/e-liquide-cacahuete-crunchy-par-vdlv.jpg
Iced Latte Caramel 50ml...,https://www.aromes-et-liquides.fr/e-liquide-american-dream/16358-iced-latte-caramel-50ml.html,Un café frappé accompagné de caramel,https://assets.aromes-et-liquides.fr/48662-thickbox_default/iced-latte-caramel-50ml.jpg
E-liquide Christmas Cookie & Cream par Pulp ,https://www.aromes-et-liquides.fr/e-liquide-pulp/4973-e-liquide-christmas-cookie-cream-par-pulp-.html,Un cookie à la crème et aux épices,https://assets.aromes-et-liquides.fr/12316-thickbox_default/e-liquide-christmas-cookie-cream-par-pulp-.jpg
Lemon Tart Salt Nic Dinner...,https://www.aromes-et-liquides.fr/e-liquide-vape-dinner-lady/10083-e-liquide-lemon-tart-salt-nic-par-dinner-lady.html,Le fameux e-liquide façon tarte au citron meringuée au sel de nicotine,https://assets.aromes-et-liquides.fr/54097-thickbox_default/e-liquide-lemon-tart-salt-nic-par-dinner-lady.jpg
Popycorn 50ml American Dream,https://www.aromes-et-liquides.fr/e-liquide-american-dream/16357-popycorn-50ml.html,Un popcorn croustillant nappé de caramel fondant au beurre salé,https://assets.aromes-et-liquides.fr/48661-thickbox_default/popycorn-50ml.jpg
Bubble Punch Tentation...,https://www.aromes-et-liquides.fr/e-liquide-tentation/14372-bubble-punch-liquideo.html,"Une saveur de boules de chewing-gum, en e liquide 10ml !",https://assets.aromes-et-liquides.fr/54452-thickbox_default/bubble-punch-liquideo.jpg
Super Gibus Kyandi Shop,https://www.aromes-et-liquides.fr/e-liquide-kyandi-shop/14076-super-gibus.html,Toutes les saveurs de dragées rondes aux fruits dans une recette prête à vaper,https://assets.aromes-et-liquides.fr/54560-thickbox_default/super-gibus.jpg
Butterscotch Popcorn Püd 200 ml Joe's Juice,https://www.aromes-et-liquides.fr/e-liquide-joe-s-juice/13230-butterscotch-popcorn-pud-200-ml.html,Pop-corn et caramel au beurre dans cette recette Joe's Juice,https://assets.aromes-et-liquides.fr/38688-thickbox_default/butterscotch-popcorn-pud-200-ml.jpg
